filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20220322_203804_BURST009_jpg.rf.d312f787c3df392638ea3cb870a3e75d.jpg,416,416,nasi goreng,92,216,304,416
IMG_20220322_203804_BURST009_jpg.rf.d312f787c3df392638ea3cb870a3e75d.jpg,416,416,kerupuk,174,35,318,217
IMG_20220313_113019_BURST051_jpg.rf.d2e398f9bd33c0d73880ea99b28b77c0.jpg,416,416,rendang,110,114,265,286
IMG_20220313_113019_BURST052_jpg.rf.d4cddb00bfcfbb08aec0bcb2ac71e288.jpg,416,416,rendang,109,157,297,311
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,193,54,309,170
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,214,158,324,261
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,224,243,328,357
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,96,281,220,412
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,63,164,215,302
20220401_203847_jpg.rf.d4756044bf868af31dfa0f05852fe792.jpg,416,416,martabak telor,43,35,197,165
IMG_20220313_112914_BURST051_jpg.rf.d3f328daa8914690986b16f11ec43992.jpg,416,416,ayam pop,46,126,326,394
IMG_20220313_112914_BURST051_jpg.rf.d3f328daa8914690986b16f11ec43992.jpg,416,416,extra,56,38,261,306
IMG_20220313_193114_1_BURST040_jpg.rf.d1cee711ccdb330457e4ac0b4cbe3bdf.jpg,416,416,nasi putih,55,139,201,247
IMG_20220313_193114_1_BURST040_jpg.rf.d1cee711ccdb330457e4ac0b4cbe3bdf.jpg,416,416,bebek goreng,167,27,367,314
IMG_20220313_112846_BURST046_jpg.rf.d5bac8e32afe1a9e97f9f17d51e2ea6c.jpg,416,416,ayam goreng,164,100,403,374
IMG_20220313_112846_BURST046_jpg.rf.d5bac8e32afe1a9e97f9f17d51e2ea6c.jpg,416,416,kecap,245,245,373,407
IMG_20220313_113019_BURST037_jpg.rf.d1d94a9c05f676ecb0c2283c4425b49e.jpg,416,416,rendang,63,150,280,312
IMG_20220322_203742_BURST020_jpg.rf.d6e40d496bf9fa0a020fc364541d174e.jpg,416,416,nasi goreng,101,54,391,272
IMG_20220324_190625_BURST027_jpg.rf.d415eae73f8df423a504345885dc6b10.jpg,416,416,nasi putih,276,14,386,98
IMG_20220324_190625_BURST027_jpg.rf.d415eae73f8df423a504345885dc6b10.jpg,416,416,nasi putih,135,341,224,409
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,127,25,181,101
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,113,93,173,155
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,108,148,167,199
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,105,198,165,326
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,185,27,276,128
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,171,106,259,196
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,159,182,249,271
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,158,260,240,347
IMG_8904_jpg.rf.d2d953502b91c6b91be4c26e6601bc6c.jpg,416,416,martabak telor,258,128,328,264
IMG_20220322_203742_BURST006_jpg.rf.d3f8853e3d8d50c3de2bc4d9c7853f1b.jpg,416,416,nasi goreng,13,162,299,348
IMG_20220313_193059_BURST037_jpg.rf.d3a8c2825e225f878a203cc6304bc537.jpg,416,416,nasi putih,75,93,216,185
IMG_20220313_193059_BURST037_jpg.rf.d3a8c2825e225f878a203cc6304bc537.jpg,416,416,bebek bakar,1,104,291,302
IMG_20220313_112846_BURST060_jpg.rf.d3a8a4fc8a07905215e3ebb4693def71.jpg,416,416,ayam goreng,21,109,261,363
IMG_20220313_112846_BURST060_jpg.rf.d3a8a4fc8a07905215e3ebb4693def71.jpg,416,416,kecap,47,78,177,246
IMG_20220322_203804_BURST024_jpg.rf.d403e46f6e8d2a46a6ec5530c995f841.jpg,416,416,nasi goreng,217,121,415,325
IMG_20220322_203804_BURST024_jpg.rf.d403e46f6e8d2a46a6ec5530c995f841.jpg,416,416,kerupuk,22,154,216,304
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,88,31,188,146
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,109,118,197,252
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,155,177,240,301
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,194,250,294,369
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,205,110,319,249
20220401_204200_jpg.rf.d9af554708d49ffd90f2103008fd6175.jpg,416,416,martabak manis,259,182,359,310
